ID_Modelo;Tamanho;Codigo_Barras
SAND.HAV.ALOHABCO/BCO/VDOLIVE;37/38;7909989703533
SAND.HAV.ALOHABCO/BCO/VDOLIVE;39/40;7909989703540
SAND.HAV.ALOHABCO/BCO/VDOLIVE;41/42;7909989703557
SAND.HAV.ALOHABCO/BCO/VDOLIVE;43/44;7909989703564
SAND.HAV.ALOHABEGEPALHA;37/38;7909843684473
SAND.HAV.ALOHABEGEPALHA;43/44;7909843684749
SAND.HAV.ALOHAMAR/MAR/MARINHO;37/38;7909989703717
SAND.HAV.ALOHAMAR/MAR/MARINHO;39/40;7909989703724
SAND.HAV.ALOHAMAR/MAR/MARINHO;41/42;7909989703731
SAND.HAV.ALOHAMAR/MAR/MARINHO;43/44;7909989703748
SAND.HAV.ALOHAPTO/PTO/CINZA;37/38;7909989691397
SAND.HAV.ALOHAPTO/PTO/CINZA;39/40;7909989691403
SAND.HAV.ALOHAPTO/PTO/CINZA;41/42;7909989691410
SAND.HAV.ALOHAPTO/PTO/CINZA;43/44;7909989691427
SAND.HAV.ALOHAPTO/PTO/PTO;35/36;7909843685081
SAND.HAV.ALOHAPTO/PTO/PTO;37/38;7909843685098
SAND.HAV.BABYBRASILLOG.AM.POP/AMAZ;17/18;7909843417163
SAND.HAV.BABYBRASILLOG.AM.POP/AMAZ;20;7909843417187
SAND.HAV.BABYBRASILLOG.CORAL/RS;17/18;7909989755914
SAND.HAV.BABYBRASILLOG.CORAL/RS;22;7909989755952
SAND.HAV.BABYDISNEYCLAS.AZ/AZBRI;17/18;7909989834923
SAND.HAV.BABYDISNEYCLAS.AZ/AZBRI;19;7909989834930
SAND.HAV.BABYDISNEYCLAS.AZ/AZBRI;20;7909989834947
SAND.HAV.BABYDISNEYCLAS.AZ/AZBRI;21;7909989834954
SAND.HAV.BABYDISNEYCLAS.AZ/AZBRI;22;7909989834961
SAND.HAV.BABYDISNEYCLAS.BUTTERCR;17/18;7909989834978
SAND.HAV.BABYDISNEYCLAS.BUTTERCR;19;7909989834985
SAND.HAV.BABYDISNEYCLAS.BUTTERCR;20;7909989834992
SAND.HAV.BABYDISNEYCLAS.BUTTERCR;21;7909989835005
SAND.HAV.BABYDISNEYCLAS.BUTTERCR;22;7909989835012
SAND.HAV.BABYDISNEYCLAS.ROSAGLOW;17/18;7909989835029
SAND.HAV.BABYDISNEYCLAS.ROSAGLOW;19;7909989835036
SAND.HAV.BABYDISNEYCLAS.ROSAGLOW;20;7909989835043
SAND.HAV.BABYDISNEYCLAS.ROSAGLOW;21;7909989835050
SAND.HAV.BABYDISNEYCLAS.ROSAGLOW;22;7909989835067
SAND.HAV.BABYDISNEYCLASS.AM.POP;17/18;7909989415009
SAND.HAV.BABYDISNEYCLASS.AM.POP;19;7909989415016
SAND.HAV.BABYDISNEYCLASS.AM.POP;20;7909989415023
SAND.HAV.BABYDISNEYCLASS.AM.POP;21;7909989415030
SAND.HAV.BABYDISNEYCLASS.LAVFRES;19;7909989016732
SAND.HAV.BABYDISNEYCLASS.RSVERM;17/18;7909989415078
SAND.HAV.BABYDISNEYCLASS.RSVERM;19;7909989415085
SAND.HAV.BABYDISNEYCLASS.RSVERM;20;7909989415092
SAND.HAV.BABYDISNEYCLASS.RSVERM;21;7909989415108
SAND.HAV.BABYDISNEYCLASS.RSVERM;22;7909989415115
SAND.HAV.BABYMARV.VDPATRIA;21;7909989028377
SAND.HAV.BABYMARV.VMRUBI;19;7909989028285
SAND.HAV.BABYPALETTEGLOWAZ/NV;20;7909843907060
SAND.HAV.BABYPEPPAPIGLAVANDA;17/18;7909989503553
SAND.HAV.BABYPEPPAPIGLAVANDA;19;7909989503560
SAND.HAV.BABYPEPPAPIGLAVANDA;20;7909989503577
SAND.HAV.BABYPEPPAPIGLAVANDA;21;7909989503584
SAND.HAV.BABYPEPPAPIGBUTT/CORAL;20;7909989745960
SAND.HAV.BABYPEPPAPIGBUTT/CORAL;22;7909989745984
SAND.HAV.BABYPEPPAPIGBUTTERCREAM;17/18;7909989503621
SAND.HAV.BABYPEPPAPIGBUTTERCREAM;19;7909989503638
SAND.HAV.BABYPEPPAPIGBUTTERCREAM;20;7909989503645
SAND.HAV.BABYPEPPAPIGBUTTERCREAM;21;7909989503652
SAND.HAV.BRASILAZULNAVAL;33/34;7890557699221
SAND.HAV.BRASILAZULNAVAL;35/36;7890557699337
SAND.HAV.BRASILAZULNAVAL;37/38;7890557699344
SAND.HAV.BRASILAZULNAVAL;39/40;7890557699498
SAND.HAV.BRASILAZULNAVAL;41/42;7890557699504
SAND.HAV.BRASILAZULNAVAL;43/44;7890557699511
SAND.HAV.BRASILAZULNAVAL;45/46;7890557699528
SAND.HAV.BRASILBRANCA;33/34;7895265145282
SAND.HAV.BRASILBRANCA;35/36;7895265145299
SAND.HAV.BRASILBRANCA;37/38;7895265145305
SAND.HAV.BRASILBRANCA;39/40;7895265145312
SAND.HAV.BRASILBRANCA;41/42;7895265145329
SAND.HAV.BRASILBRANCA;43/44;7895265145336
SAND.HAV.BRASILBRANCA;45/46;7895265757799
SAND.HAV.BRASILLOGOAMAR.POP;35/36;7909843310488
SAND.HAV.BRASILLOGOAMAR.POP;37/38;7909843310495
SAND.HAV.BRASILLOGOAMAR.POP;39/40;7909843310501
SAND.HAV.BRASILLOGOAMAR.POP;41/42;7909843310518
SAND.HAV.BRASILLOGOAMAR.POP;43/44;7909843310525
SAND.HAV.BRASILLOGOAZULNAVAL;35/36;7895265369794
SAND.HAV.BRASILLOGOAZULNAVAL;37/38;7895265369800
SAND.HAV.BRASILLOGOAZULNAVAL;39/40;7895265369817
SAND.HAV.BRASILLOGOAZULNAVAL;41/42;7895265369824
SAND.HAV.BRASILLOGOAZULNAVAL;43/44;7895265369831
SAND.HAV.BRASILLOGOBRANCO;33/34;7891109342343
SAND.HAV.BRASILLOGOBRANCO;35/36;7891109342350
SAND.HAV.BRASILLOGOBRANCO;37/38;7891109342367
SAND.HAV.BRASILLOGOBRANCO;39/40;7891109342374
SAND.HAV.BRASILLOGOBRANCO;41/42;7891109342381
SAND.HAV.BRASILLOGOBRANCO;43/44;7891109342398
SAND.HAV.BRASILLOGOVERDE/AMAR;33/34;7909989826614
SAND.HAV.BRASILLOGOVERDE/AMAR;35/36;7909989826621
SAND.HAV.BRASILLOGOVERDE/AMAR;37/38;7909989826638
SAND.HAV.BRASILLOGOVERDE/AMAR;39/40;7909989826645
SAND.HAV.BRASILLOGOVERDE/AMAR;41/42;7909989826652
SAND.HAV.BRASILLOGOVERDE/AMAR;43/44;7909989826669
